[33mWARN[0m[2024-10-16 16:19:34] not enable search                            
[36mINFO[0m[2024-10-16 16:19:35] [ali_open] token exchange: eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJkYWVmMGE4ZWU1ZGE0YjIyOTZhOWEzM2Q5MjA2OWQxZCIsImF1ZCI6Ijc2OTE3Y2NjY2Q0NDQxYzM5NDU3YTA0ZjYwODRmYjJmIiwiZXhwIjoxNzMzNDk5NDg4LCJpYXQiOjE3MjU3MjM0ODgsImp0aSI6IjY2ZTI2ZThmNzg3ZjRhODY4NDJjY2M4N2E5YTJhOGMwIn0.Rjsrd-1th817Iwmy80FwjqwDazxVEbgxSdAgRTrIgCsrVdVLp8YUTi8jYFopS2zh8h9ABdhftiLK4bK-44OTUA -> eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdWIiOiJkYWVmMGE4ZWU1ZGE0YjIyOTZhOWEzM2Q5MjA2OWQxZCIsImF1ZCI6Ijc2OTE3Y2NjY2Q0NDQxYzM5NDU3YTA0ZjYwODRmYjJmIiwiZXhwIjoxNzM2ODQyNzczLCJpYXQiOjE3MjkwNjY3NzMsImp0aSI6IjAxMDYzYTQwN2I3ZDRlYjc4M2Y1ZDRjMmQ4Y2IyN2QzIn0.fqZnL5KKew04qZsKJsuir-US095qhg7LlHaBid_Hj8scd5mewhyqa3s9agAR21sC5UwhcELn46nIKeT7nPn_NA 
[GIN] 2024/10/16 - 16:19:47 | 200 |      53.005µs |       127.0.0.1 | GET      "/"
[GIN] 2024/10/16 - 16:19:47 | 200 |     426.626µs |       127.0.0.1 | GET      "/assets/index.cd8652af.js"
[GIN] 2024/10/16 - 16:19:47 | 200 |      88.668µs |       127.0.0.1 | GET      "/assets/index.c4c82a28.css"
[GIN] 2024/10/16 - 16:19:47 | 200 |     168.103µs |       127.0.0.1 | GET      "/assets/entry.8b068f59.js"
[GIN] 2024/10/16 - 16:19:47 | 200 |     690.529µs |       127.0.0.1 | GET      "/api/public/settings"
[GIN] 2024/10/16 - 16:19:47 | 200 |     253.942µs |       127.0.0.1 | GET      "/api/me"
[GIN] 2024/10/16 - 16:19:47 | 200 |      74.623µs |       127.0.0.1 | GET      "/assets/Layout.7cd30458.js"
[GIN] 2024/10/16 - 16:19:47 | 200 |      25.521µs |       127.0.0.1 | GET      "/assets/useTitle.18d1e7a9.js"
[GIN] 2024/10/16 - 16:19:47 | 200 |      32.314µs |       127.0.0.1 | GET      "/assets/index.19b6c588.js"
[GIN] 2024/10/16 - 16:19:47 | 200 |      55.888µs |       127.0.0.1 | GET      "/assets/FolderTree.1d328939.js"
[GIN] 2024/10/16 - 16:19:47 | 200 |       46.75µs |       127.0.0.1 | GET      "/assets/index.b6c257bb.js"
[GIN] 2024/10/16 - 16:19:47 | 200 |      28.782µs |       127.0.0.1 | GET      "/api/public/offline_download_tools"
[GIN] 2024/10/16 - 16:19:47 | 200 |    1.395373ms |       127.0.0.1 | POST     "/api/fs/get"
