
2024/10/14 (10:56:27) | ===> btop++ v.1.4.0
2024/10/14 (10:56:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (10:57:21) | ===> btop++ v.1.4.0
2024/10/14 (10:57:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:16:14) | ===> btop++ v.1.4.0
2024/10/14 (11:16:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:27:56) | ===> btop++ v.1.4.0
2024/10/14 (11:27:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:29:04) | ===> btop++ v.1.4.0
2024/10/14 (11:29:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:39:13) | ===> btop++ v.1.4.0
2024/10/14 (11:39:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:42:39) | ===> btop++ v.1.4.0
2024/10/14 (11:42:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:47:15) | ===> btop++ v.1.4.0
2024/10/14 (11:47:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:51:46) | ===> btop++ v.1.4.0
2024/10/14 (11:51:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:52:26) | ===> btop++ v.1.4.0
2024/10/14 (11:52:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:54:40) | ===> btop++ v.1.4.0
2024/10/14 (11:54:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:01:04) | ===> btop++ v.1.4.0
2024/10/14 (12:01:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:03:01) | ===> btop++ v.1.4.0
2024/10/14 (12:03:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:57:59) | ===> btop++ v.1.4.0
2024/10/14 (12:57:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:58:42) | ===> btop++ v.1.4.0
2024/10/14 (12:58:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:59:42) | ===> btop++ v.1.4.0
2024/10/14 (12:59:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (13:30:36) | ===> btop++ v.1.4.0
2024/10/14 (13:30:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (13:36:43) | ===> btop++ v.1.4.0
2024/10/14 (13:36:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (13:44:53) | ===> btop++ v.1.4.0
2024/10/14 (13:44:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (13:46:05) | ===> btop++ v.1.4.0
2024/10/14 (13:46:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (13:48:30) | ===> btop++ v.1.4.0
2024/10/14 (13:48:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:28:46) | ===> btop++ v.1.4.0
2024/10/14 (14:28:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:31:24) | ===> btop++ v.1.4.0
2024/10/14 (14:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:32:16) | ===> btop++ v.1.4.0
2024/10/14 (14:32:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:35:15) | ===> btop++ v.1.4.0
2024/10/14 (14:35:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:38:23) | ===> btop++ v.1.4.0
2024/10/14 (14:38:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:39:27) | ===> btop++ v.1.4.0
2024/10/14 (14:39:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:42:30) | ===> btop++ v.1.4.0
2024/10/14 (14:42:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:44:57) | ===> btop++ v.1.4.0
2024/10/14 (14:44:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:47:04) | ===> btop++ v.1.4.0
2024/10/14 (14:47:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:48:10) | ===> btop++ v.1.4.0
2024/10/14 (14:48:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:49:07) | ===> btop++ v.1.4.0
2024/10/14 (14:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:49:50) | ===> btop++ v.1.4.0
2024/10/14 (14:49:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (16:12:37) | ===> btop++ v.1.4.0
2024/10/14 (16:12:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (17:10:54) | ===> btop++ v.1.4.0
2024/10/14 (17:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (17:18:50) | ===> btop++ v.1.4.0
2024/10/14 (17:18:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (17:48:03) | ===> btop++ v.1.4.0
2024/10/14 (17:48:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (18:03:19) | ===> btop++ v.1.4.0
2024/10/14 (18:03:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (18:04:03) | ===> btop++ v.1.4.0
2024/10/14 (18:04:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (18:04:22) | ===> btop++ v.1.4.0
2024/10/14 (18:04:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (18:04:41) | ===> btop++ v.1.4.0
2024/10/14 (18:04:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (18:06:11) | ===> btop++ v.1.4.0
2024/10/14 (18:06:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (18:10:25) | ===> btop++ v.1.4.0
2024/10/14 (18:10:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (18:12:18) | ===> btop++ v.1.4.0
2024/10/14 (18:12:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (19:38:51) | ===> btop++ v.1.4.0
2024/10/14 (19:38:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (19:47:51) | ===> btop++ v.1.4.0
2024/10/14 (19:47:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (21:21:23) | ===> btop++ v.1.4.0
2024/10/14 (21:21:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:04:21) | ===> btop++ v.1.4.0
2024/10/14 (22:04:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:23:15) | ===> btop++ v.1.4.0
2024/10/14 (22:23:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:27:21) | ===> btop++ v.1.4.0
2024/10/14 (22:27:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:27:55) | ===> btop++ v.1.4.0
2024/10/14 (22:27:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (09:27:15) | ===> btop++ v.1.4.0
2024/10/15 (09:27:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (13:51:53) | ===> btop++ v.1.4.0
2024/10/15 (13:51:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (13:52:34) | ===> btop++ v.1.4.0
2024/10/15 (13:52:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (13:53:41) | ===> btop++ v.1.4.0
2024/10/15 (13:53:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (14:00:13) | ===> btop++ v.1.4.0
2024/10/15 (14:00:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (14:04:18) | ===> btop++ v.1.4.0
2024/10/15 (14:04:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (14:47:48) | ===> btop++ v.1.4.0
2024/10/15 (14:47:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (14:51:24) | ===> btop++ v.1.4.0
2024/10/15 (14:51:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (17:20:19) | ===> btop++ v.1.4.0
